ts,clo,e,met,voto,Temperatura_prom,Humedad_prom,Presion_prom
2024-11-06 14:28:12.580,0.53,0.7,1.1,0.0,30.04196,44.2176605,874.4068
2024-11-06 14:34:40.033,0.38,0.7,1.0,1.4,30.04196,44.2176605,874.4068
2024-11-12 14:25:52.646,0.13,0.7,1.0,-3.0,27.487724444444446,29.273797222222225,863.3471444444444
2024-11-12 14:37:59.371,0.49,0.7,1.0,1.0,27.487724444444446,29.273797222222225,863.3471444444444
2024-11-12 14:38:15.379,0.52,0.7,1.0,0.0,27.487724444444446,29.273797222222225,863.3471444444444
2024-11-12 14:38:42.519,0.45999999999999996,0.7,1.0,0.8,27.487724444444446,29.273797222222225,863.3471444444444
2024-11-12 14:38:48.505,0.52,0.7,1.1,-0.2,27.487724444444446,29.273797222222225,863.3471444444444
2024-11-12 14:40:24.406,0.98,0.7,1.0,0.0,27.487724444444446,29.273797222222225,863.3471444444444
2024-11-12 14:40:27.791,0.43000000000000005,0.7,1.0,2.0,27.487724444444446,29.273797222222225,863.3471444444444
2024-11-12 14:40:33.584,0.53,0.7,1.1,0.8,27.487724444444446,29.273797222222225,863.3471444444444
2024-11-12 14:42:00.731,0.28,0.7,1.7,0.6,27.487724444444446,29.273797222222225,863.3471444444444
2024-11-12 14:42:11.444,0.36,0.7,1.0,0.0,27.487724444444446,29.273797222222225,863.3471444444444
2024-11-13 09:59:21.266,0.84,0.7,1.0,1.2,25.721628125,40.858096875,876.583275
2024-11-13 09:59:32.218,0.59,0.7,1.0,-1.4,25.721628125,40.858096875,876.583275
2024-11-13 10:00:07.098,0.96,0.7,1.0,0.0,25.721628125,40.858096875,876.583275
2024-11-13 10:00:09.097,0.83,0.7,1.0,0.6,25.721628125,40.858096875,876.583275
2024-11-13 10:00:29.283,0.9199999999999999,0.7,1.0,-2.0,25.721628125,40.858096875,876.583275
2024-11-13 10:03:51.423,0.97,0.7,1.0,-1.0,25.721628125,40.858096875,876.583275
2024-11-13 10:04:33.130,0.53,0.7,1.0,-0.4,25.721628125,40.858096875,876.583275
2024-11-13 10:06:11.087,0.45999999999999996,0.7,1.0,0.4,25.721628125,40.858096875,876.583275
2024-11-13 10:13:00.899,0.76,0.7,1.0,-1.4,25.721628125,40.858096875,876.583275
2024-11-13 10:17:56.855,0.52,0.7,1.0,0.0,25.801618888888886,40.43561444444444,876.4580777777778
2024-11-13 10:18:36.285,0.96,0.7,1.1,0.0,25.801618888888886,40.43561444444444,876.4580777777778
2024-11-13 10:19:32.251,0.53,0.7,1.0,-1.4,25.801618888888886,40.43561444444444,876.4580777777778
2024-11-13 10:19:33.906,1.1900000000000002,0.7,1.0,0.0,25.801618888888886,40.43561444444444,876.4580777777778
2024-11-13 10:19:49.427,0.55,0.7,1.0,0.0,25.801618888888886,40.43561444444444,876.4580777777778
2024-11-13 10:20:00.452,1.02,0.7,1.0,0.0,25.801618888888886,40.43561444444444,876.4580777777778
2024-11-13 10:20:09.850,0.55,0.7,1.0,-0.6,25.801618888888886,40.43561444444444,876.4580777777778
2024-11-13 10:20:24.755,0.72,0.7,1.0,0.0,25.801618888888886,40.43561444444444,876.4580777777778
2024-11-13 10:21:13.497,0.63,0.7,1.0,-0.2,25.801618888888886,40.43561444444444,876.4580777777778
2024-11-13 10:21:32.267,0.25,0.7,1.0,0.0,25.801618888888886,40.43561444444444,876.4580777777778
2024-11-13 10:21:38.103,0.53,0.7,1.0,-0.2,25.801618888888886,40.43561444444444,876.4580777777778
2024-11-13 10:21:39.167,0.78,0.7,1.0,0.0,25.801618888888886,40.43561444444444,876.4580777777778
